Time		Subtitle		Translation
00:05:58		 Başkan, ben 20 dakikaya duraktayım. Sapa yerdeyim çok ya.   		Húsz perc múlva ott leszek a droszton. Most a semmi közepén vagyok. 
00:06:01		 -[Başkan] Tamamdır. -Eyvallah.   		- Rendben. - Kösz. 
00:06:11		 Ha?   		Igen? 
00:06:12		 Abi, yakın mı? Arabayı bırakacağım be.   		Vége a műszakomnak. A közelbe megy? 
00:06:14		 Dur, dur.   Neredesin lan? Nerede olduğunu söyle.   		Várj! Hol a picsában vagy? Mondd meg, hol vagy! 
00:06:17		 [adam] Tamam, yakın o zaman.   		Oké, az nincs messze. 
00:06:25		 -Müzik rahatsız ediyor mu abi? -[arabesk müzik]   Anlayamadım?   		- Zavarja a zene, uram? - Tessék? 
00:06:28		 -Müzik kalsın mı? -Aç! İyice aç amına koyayım!   		- A zene rendben van így? - Hangosabban! Adjon rá kakaót! 
00:06:32		 -Anlamadım. -Ya tamam gülüm, tamam, açık kalsın.   		- Tessék? - Rendben van, haver. Hangosítsa fel! 
00:06:42		 [adam] Alo!   Gece gece ne ibnelik yapıyorsun lan?   		Mi a francot csinálsz éjnek évadján? 
00:06:46		 [adam] Ya yok ya, ne kafam iyi olacak.   		Dehogy, miért lennék részeg? 
00:06:51		 Yanımda yanımda.   		Igen, elhoztam. 
00:06:53		 Geldi, geldi. Ne diyor bana, biliyor musun?   		Igen. Tudod, mit mondott? 
00:06:56		 [adam] Sen diyor, gel, konuşalım.   Göt!   		Azt mondta, beszélnünk kell. Micsoda seggfej! 
00:07:03		 [adam] Ya, bırak Allah aşkına ya.   		Nem, rohadtul leszarom. 
00:07:06		 Ben var ya, onu ters düz ederim. Beni biliyor mu o?   		Másodpercek alatt kifingatom. Nem tud rólam sokat. 
00:07:10		 Birader, şöyle sağlı git.   		Testvér, jobbra! 
00:07:13		 Dur, mesaj atıyor galiba göt, arayacağım seni.   		Várj, üzenetet kaptam a seggfejtől. Visszahívlak. 
00:07:19		 İleride bir köprü mü varmış, geçit?   		Itt valahol van egy híd, ugye? 
00:07:21		 -Buraları bilmiyorum abi ben. -Tamam, düz git diyor işte.   		- Nem igazán ismerem ezt a környéket. - Oké, menjen egyenesen! 
00:07:24		 Ha, tamam. Geçit varmış, geçit. Bir arkadaşı alacağız oradan.   		Van itt valahol egy híd. Egy barátom ott vár. 
00:07:35		 [nefesle] Bir şey mi oldu?   		Akar valamit mondani? 
00:07:43		 Trafiğe bakıyorum abi.   		A mögöttünk lévő autókat figyelem. 
00:07:46		 Allah Allah.   		Tényleg? 
00:07:48		 Sen şekilli şekilli cevap vereceğine yoluna git.   		Ne feleseljen, inkább vezessen! 
00:07:51		 -Gidiyoruz abi işte. -[adam] E gideceksin tabii!   		- Vezetek. - Helyes. 
00:07:55		 -Taksimetreyi açtın mı lan sen? -Açık abi taksimetre.   		- Be van kapcsolva a taxaméter? - Be van kapcsolva, uram. 
00:08:18		 -[adam] Gel lan, gel! -[adam 2] İyi akşamlar.   		- Szállj be! - Jó estét! 
00:08:20		 -Gel. -Ne haber lan, eşekoğlueşek?   		- Gyerünk! - Mizu, te hülye fasz? 
00:08:24		 -Gel, gel. -Kay lan kay, yayılma.   		- Gyerünk! - Csússz odébb! 
00:08:26		 -Gel bakalım. -Şoför Bey, devam edelim.   		- Rendben. - Menjünk! 
00:08:28		 -Düz devam. -Nasıl düz abi?   		- Menjen egyenesen! - Pontosan hova? 
00:08:31		 Pınarköy girişinden bir gir, sorun yok ya, buradan beş dakika.   		A Pinarkoy kijárat felé! Öt percre van innen. 
00:08:37		 -[adam 2] Ne yaptın lan? -[adam] Neyi ne yaptım?   		- Mi a faszt műveltél? - Mire gondolsz? 
00:08:40		 Yok bir şey işte, söyle dedin, söyledim.   		Megtettem, amit mondtál. Beszéltem vele. Nem nagy ügy. 
00:08:42		 Sen niye gece gece işkillendin lan?   		Mitől lettél ilyen gyanakvó az éjszaka közepén? 
00:08:45		 -Kafan güzel mi? -He, güzel.   [onaylar nidalar]   		- Részeg vagy? - Igen. 
00:08:48		 -Yavşaksın, yavşak! -[gülerler]   		Rohadék! 
00:08:51		 -[adam 2] Ver şunu, ver. -[adam] Al, al, al.   		- Add ide! - Tessék, itt van. 
00:08:53		 -Ne yavşak olacağım ya Allah aşkına. -[öksürme sesi]   		Nem vagyok rohadék. 
00:08:55		 Birader, aç şunun sesini. Aç, aç.   		Testvér, tekerd fel a hangerőt! 
00:08:58		 -[adam 2] Oh! -[adam] Aç, aç, aç.   		Fel, fel, fel! 
00:09:01		 [adam 2] Çok seviyorum lan seni. Çok seviyorum seni!   		Kurvára szeretlek, tesó. Szeretlek! 
00:09:06		 Merak etme, benden sana yanlış olmaz.   		Ne aggódj semmi miatt! Melletted leszek. 
00:09:09		 -Ya bilmez miyim kardeşim ya. -Benden sana yanlış olmaz!   		- Tudom, tesó. - Mindig melletted leszek! 
00:09:12		 Sen benim kardeşimsin.   		Olyan vagy nekem, mint egy testvér. 
00:09:14		 [adam 2] Gerekirse sırtımız açılıp kapanırız, açılıp kapanırız.   		Ha valaki rád lőne, a golyó útjába állnék. 
00:09:18		 -Açılıp kapanırız. Ver şunu, ver. -[adam] Al, al.   		- Ha arra lenne szükség. Add ide! - Tessék. 
00:09:21		 Seviyor musun lan beni, ha?   		Szeretsz, ember? 
00:09:23		 Seviyorum tabii lan, kardeşimsin abi sen benim.   		Kurvára. Olyan vagy nekem, mint egy testvér. 
00:09:25		 -Seviyorsun? Bir daha söyle. -Seni seviyorum.   		- Tényleg? Mondd még egyszer! - Kurvára szeretlek! 
00:09:27		 Cevap vermedin iki kere. İki kere!   		Kétszer hívtalak, és nem vetted fel. Kétszer! 
00:09:31		 Yahu duymadım.   		Nem hallottam. 
00:09:47		 [adam 2] Birader, bak şu, az ileride şurada bizi bırakıver be.   		Testvér, sétáljunk itt egyet! 
00:09:50		 Bak şurada. Bak şurada ha.   		Itt álljon meg! 
00:09:53		 [adam 2] Hah, burası.   		Igen, itt. 
00:09:55		 [adam 2] Taksimetreyi kapatma ha, geliyoruz.   		Ne kapcsolja ki a taxamétert, visszajövünk. 
00:09:58		 -[adam] İndik mi? -[adam 2] Hadi indik, indik, gel.   		- Kiszállunk? - Igen, gyere! 
00:09:59		 Atla bakayım, hop!   		Gyerünk! 
00:10:01		 Bekle bizi ha, geleceğiz.   		Várjon meg, visszajövünk! 
00:10:05		 Abi, burada beklenir mi ya?   		Ez nem túl jó hely a várakozásra. 
00:10:09		 Al sen şunu.   		Tessék, tegye el! 
00:10:11		 Biz de döneceğiz ya, beş dakika bekle.   		Csak tíz perc, és jövünk is. 
00:10:14		 -[adam] Çıkarayım mı? -[adam 2] Dur lan dur, daha değil.   		- Kipróbálhatom? - Még ne! Várj! 
00:10:19		 -Abi, burada beklenir mi ya? -Beş dakika ya, bekle!   		- Ez nem jó hely a várakozásra. - Csak öt perc! 
00:10:23		 -[adam 2] Dur, bana bak dur! -[adam] Ha?   		- Várj már! - Mi van? 
00:10:25		 [adam 2] Acele ediyorsun! Acele ediyorsun!   		Ne siess ennyire! Ne rohanj! 
00:10:28		 Gelsene lan!   		Gyere már! 
00:10:29		 -[gülerler] -[adam 2] Gel.   		Gyere! 
00:10:53		 -95-90. -[anlaşılmaz ses]   		Kilencvenöt, kilencven. 
00:10:54		 90... Başkan, gelmiyor sesin başkan.   		Kilencven. Főnök, nem hallak. 
00:11:21		 -[adam] İnsan rahatlıyor ha. -[köpek havlaması]   		Nagyon megnyugtató. 
00:11:25		 [adam 2] Ulan... İyi ki aklımıza... Öf be...   		Basszus! Örülök, hogy eszünkbe jutott. 
00:11:29		 -Bak, bak, bak. -[silah sesi]   		Ezt figyuzd! 
00:11:31		 -[silah sesleri] -Al! Al!   		Figyuzd! 
00:11:37		 [adam] Dur lan, dur. Ver onu, ver.   		Várj! Add ide! 
00:11:39		 -Ver, ver, ver. -[adam 2] Dur ulan, al işte.   		- Add ide! - Tessék, itt van. 
00:11:41		 Bu tarafa tut.   		Erre. 
00:11:42		 -[adam] Ver. -[adam 2] Yavaş, yavaş.   		- Így. - Nyugi! 
00:11:44		 -Nefesini tut. -[silah sesi]   		Tartsd vissza a lélegzeted! 
00:11:47		 -[adam] Nasıl ama? -[adam 2] Ağaca lan, ağaca, ağaca.   		- Mit gondolsz? - A fa. A kibaszott fa. 
00:11:59		 [adam 2] Sakin, sakin.   		Nyugi! 
00:12:05		 [adam 2] Tadını çıkar, tadını.   		Élvezd ki, ember! 
00:12:10		 -[adam 2] At bakayım şimdi. -[silah sesi]   		Oké, lőj! 
00:12:12		 -Gönder bakayım şimdi. -[silah sesi]   		Add ide! 
00:12:21		 Bırak, ver, ver! Geri zekalı! [güler]   		Add ide, te, idióta! 
00:12:27		 [adam 2] Bırak bakalım, böyle.   		Hadd nézzem! 
00:12:31		 O, taksici kardeşim, gel gel.   		Sofőr úr, jöjjön ide! 
00:12:34		 -Yok, yok abi, yok. -[adam 2] Ya gel be oğlum, gel.   		- Nem, köszönöm, uram. - Jöjjön már! 
00:12:37		 Stres atıyoruz. Günün yorgunluğu, iti kopuğu falan.   		Csak lazítunk. Stresszes elviselni az embereket. 
00:12:39		 Anlarsın sen, gel iki dakika.   		Biztos érti. Jöjjön csak ide! 
00:12:40		 Biz kötü insanlar değiliz. İş adamıyız biz ya.   		Nem vagyunk rosszfiúk. Üzletemberek vagyunk. 
00:12:43		 Ya gel, gel, gel kardeşim.   		- Vissza kell mennem a kocsihoz. - Jöjjön már ide, ember! 
00:12:47		 Gel işte, biz de döneceğiz ya, gel. Gel. [güler]   		Mind visszamegyünk együtt. 
00:12:52		 Versene şunu ya. Şuradan fare mi geçti, ona bir sıkayım ben.   		Add ide! Láttam ott egy egeret, le akarom lőni. 
00:12:55		 -Ne faresi salak, saçmalama! -Abi, ben gideyim.   		- Milyen egeret? Baromság! - Uram, mennem kell. 
00:12:57		 Gel güzel kardeşim, gel bak, bak.   		Jöjjön már, drága testvér! 
00:12:59		 Benim, bütün gün direksiyon sallayan,   		Minden nap sokat és keményen dolgozol. 
00:13:03		 emekçi, taksici kardeşim, o da sıksın. Al şunu.   		Neked is kijár egy kis lövöldözés. Tessék. 
00:13:05		 -Yok abi, vallahi sağ ol. -Al şunu.   		- Nem, uram. Köszönöm, de nem. - Fogja, és lőjön! 
00:13:08		 Ya sık amına koyayım! Ne bu ya...   		Csak lőjön! Mi a fasz baja van? 
00:13:10		 -Lan bırak! Sen ona bakma. -Ben gideyim abi. Abi, yapma ne olur.   		- Fogd be! Ne is törődjön vele! - Uram, nekem el kell mennem. 
00:13:14		 Korktun mu birader? Askerliği mi yapmadın?   		Fél? Nem tanult meg lőni a seregben? 
00:13:17		 -Yok abi, ne alakası var. -Geç şu tarafa. Yapma lan!   		- Nem félek, miért félnék? - Tessék, és kuss! 
00:13:20		 -Tamam, bir tane atayım. -Tamam, bir tane, sakin, ağaçlara.   		- Oké, csak egyszer. - Oké, egyszer. Nyugi! 
00:13:24		 Tamam abi. Gözünü seveyim, dur abi, ne olur.   		Rendben, uram. Kérem, hagyja abba, az ég szerelmére! 
00:13:29		 -Bak, bak. -[silah sesi]   		Lássuk! 
00:13:31		 -Tamam abi al. -Celal!   		- Oké, uram. Tessék. - Celal! 
00:13:33		 Celal, ne diyorsun?   		Celal, mit gondolsz? 
00:13:35		 -Müthiş! -Ulan senden beteri de varmış.   		- Szuper! - Nem is olyan rossz! 
00:13:37		 Bu ne lan! Bu ne! Olmaz.   		Mi a szar volt ez? Nem. 
00:13:39		 -Bana tutma lan onu. -Yapma be! Tamam, ver şunu.   		- Ne hadonássz a fegyverrel! - Oké, add ide! 
00:13:42		 -Tamam abi. -Şurayı görüyor musun? Bak.   		- Rendben, uram. - Látod, hogy célzok? 
00:13:44		 [Celal] Öyle babam da tutar lan. Öyle babam da tutar.   		Így könnyű. Segítesz neki a célzásban. Rohadt könnyű. 
00:13:47		 -Dur abi, ne olur... -Yapma lan! Tut, ileriye.   		- Uram, kérem! - Kuss! Célozz! 
00:13:49		 -Şöyle sık ya biraz. -Abi, parmağım...   		- Tartsd erősen! - Uram, az ujjam... 
00:13:51		 Keyfini çıkar!   		Élvezd ki! 
00:13:58		 Adam...   		De... 
00:14:00		 [Güven] Abi!   		Uram! 
00:14:02		 [adam 2] Amına koyduğumun ibnesi seni!   		Rohadt kis buzi! 
00:14:06		 [korkuyla] Lan ne yaptın? Adamı vurdun!   		Mi a faszt csináltál? Lelőtted! 
00:14:09		 -Oğlum, sakin, bir anlık böyle panik. -[Güven] Polis gelecek!   		- Nyugi, haver! Ne ess pánikba! - Hívom a rendőrséget! 
00:14:12		 Çık! Çık, yukarı çık! Yukarı çık! Çık! Polis gelecek buraya!   		Gyerünk! Vissza a kocsihoz! Hívom a rendőrséget. 
00:14:15		 Polis gelecek! Çık yukarı!   		Jön a rendőrség! Gyerünk! 
00:14:17		 -Kaza oldu lan, dur dur. -Geç, yukarı geç!   		- Baleset volt, hagyd abba! - Menjünk vissza! 
00:14:21		 Geç, yukarı geç! Polis gelecek buraya!   		Vissza a kocsihoz! Hívom a rendőrséget! 
00:14:23		 -Sakin, sakin. -[Güven] Yukarı çık!   		- Nyugi! - Gyerünk! 
00:14:25		 [ağlamaklı] Geç yukarı! Geç!   		Mozgás! Gyerünk! 
00:14:29		 -[bağırır] Lan, adamı vurdun! -Yok... Dur...   		- Lelőtted! - Nem! Várj! 
00:14:31		 Lan, adamı vurdun!   		Lelőtted, bassza meg! 
00:14:32		 [adam 2] Olmaz bir şey, sakin ol. Orada, o dursun, dur.   		Minden rendben, nyugodj meg! Szépen itt hagyjuk, és kész. 
00:14:35		 -Sakin. -[Güven] Geç buraya!   		- Nyugi! - Gyerünk! 
00:14:38		 -[adam 2] Ulan, bir kaza oldu, dur. -[Güven] Bin, arabaya bin!   		- Baleset volt. Várj! - Szállj be a kocsiba! 
00:14:42		 Polis gelecek buraya, bin arabaya!   		A rendőrség bármelyik pillanatban itt lehet. Beszállni! 
00:14:45		 Bin arabaya. Arabaya.   		Beszállni! Szállj be a kocsiba! 
00:14:54		 Kımıldama bak!   		Meg ne mozdulj! 
00:14:57		 Çal amına koyayım, hadi!   		Gyerünk már! 
00:14:59		 Kıpırdama diyorum bak!   		Azt mondtam, ne mozdulj! 
00:15:03		 Alo!   		Halló! 
00:15:06		 Kıpırdama.   		Ne mozdulj! 
00:15:11		 Lan, hadi lan hadi!   		Basszus! 
00:15:20		 Taksici!   		Sofőr? 
00:15:51		 Şurada sakin sakin konuşup konuyu kapatacağız. Tamam mı gülüm?   		Most tiszta fejjel megbeszélhetjük, oké, haver? 
00:15:57		 Abi, böyle bir şey var mı?   		Hogy tehettél ilyet? 
00:15:59		 -Adın ne? -Güven.   		- Mi a neved? - Guven. 
00:16:02		 Bak Güven kardeşim, sen bu ibnenin kim olduğunu biliyor musun?   		Nézd, Guven testvér! Van fogalmad róla, ki volt az a kis buzi? 
00:16:06		 Sen onu düşünme. Ben güzel güzel düşündüm konuyu.   		Ne aggódj miatta! Megvolt rá az okom. 
00:16:10		 Sakince konuşup çözeceğiz.   		Nem lesz gond. 
00:16:13		 Abi, adamı vurduk, orada bıraktık.   		Uram, lelőttük, és ott hagytuk. 
00:16:17		 Vurduk yok. "Vurdum."   		Nem mi lőttük le. Te lőtted le. 
00:16:27		 [adam 2] Delikanlı, bir çay ver bana.   		Fiatalember, hozzon egy teát! 
00:16:32		 [adam 2] Uyudu eşekoğlueşek hah.   		Kurvára alszik. 
00:16:33		 Abi, beni sal ne olur. Beni bırak gideyim, bak, ne olur diyorum.   		Uram, engedjen el, kérem! Könyörgök, engedjen el! 
00:16:38		 Güven kardeşim...   		Guven testvér.... 
00:16:42		 [adam 2] ...burada şimdilik dört bin lira var.   		Itt van 4000 líra. 
00:16:44		 Şimdi sana şöyle desem, yani olaya şöyle baksam.   		Elmondom, mi történt. 
00:16:48		 Bu herif yolda bana sarkıntılık yaptı desek.   		A fickó rád támadt, miközben vezettél. 
00:16:52		 Silah çekti, boğuştuk, aldım vurdum desek?   		Elővette a fegyvert, te kicsavartad a kezéből, és lelőtted. 
00:16:55		 Abi, ne alakası var, beni niye dahil ediyorsun olaya?   		Uram, miről beszél? Miért akar belekeverni? 
00:16:58		 Ya, yok, bu benim fikrim de...   		Hallgasd meg a javaslatomat! 
00:17:00		 Öyle desek 200 bin işini görür mü?   		Esetleg 200 000 líra elég lenne, hogy így lásd a helyzetet? 
00:17:03		 Ne işi abi?   		Hogy hogy lássam? 
00:17:04		 Beni delirtmeye mi çalışıyorsun ya? Benim ne alakam var konuyla?   		Miért akar az őrületbe kergetni? Semmi közöm a történtekhez. 
00:17:07		 [adam 2] Bana bak lan.   		Ide figyelj! 
00:17:09		 Orada sana sıkar, ilerlerdim. Ama yapmadım. Bana artistlik yapma.   		Lelőhettelek, és ott hagyhattalak volna. De nem tettem. Szóval légy együttműködő! 
00:17:13		 Bu herif yolda beni soymaya kalktı.   Arabadan telefonu aldı, ıssızda gasp falan.   		Azt mondod, megpróbált kirabolni, kényszerített, hogy az erdőbe menjetek, 
