Cebir I 1. Ders - Ondokuz Mayıs Üniversitesi - Prof. Dr. Şenol EREN
https://www.youtube.com/watch?v=cZE98HkEbJI&list=PLub7HBm_2dVArrlRwX0Kpd94UlHAdE6yk

Ders notları
https://acikders.ankara.edu.tr/course/view.php?id=1011

Time		Subtitle		Translation
00:04:32		 ediyor O yüzden bunların tanımlarını lütfen unutmayın   		So please do not forget their definitions, 
00:04:36		 şimdi ilk tanımımızı verelim   		now let's give our first definition. 
00:05:39		 ra kartezyen B'nin bir alt kümesi olsun burada bu A eleman ağlardan oluşan ve   		Let it be a subset of Cartesian B, where  A  is  composed  of  element  networks  and 
00:05:47		 r'nin elemanı olan bir b vardır kümesi için r'nin tanım kümesini benzer şekilde   		there is a b which is an element of r. Similarly, 
00:05:54		 B eleman b'ler için aynı şekilde tarif edilen şey bu r'nin görüntü kümesini   		for the set of elements of r, the domain  of  r 
00:05:59		 oluşturulacak oluşturulacaktır Bu şekildeki ikililerin kümesinde R   		will be created.  For the relation R  in  the  set  of  pairs  in  this  figure, 
00:06:05		 bağıntısı için şöyle gösterebiliriz ya A virgül B eleman R ederiz ya da a r b ile   		we can show it as follows: either we  make  A  comma  B  element  R  or  we  show  it  with  a  r  b, 
00:06:12		 gösteririz yalnız burada her AB ikilisi değil Özellikle dikkat edin a virgül B   		but here it is not every AB pair. Pay  special  attention  when  a  comma  B 
00:06:19		 eleman R ya da a r b olduğunda bu A kartezyen B'nin alt kümesi olan r'nin   		element is R or a r b, this is r,  which  is  a  cartesian  subset  of  B. 
00:06:26		 elemanları ifade edilmektedir buna Lütfen dikkat ediniz şimdi asıl işimize   		The elements of are expressed. Please  pay  attention,  now  we  have  come  to  our  main  job. 
00:06:32		 geldik asıl işimiz nedir işte R1 a kümesi üzerinde tanımlı bağıntı olsun   		What is our main job? Let R1 be  a  relation  defined  on  the  set  a, 
00:06:37		 yani r a kartezyen A'nın bir alt kümesi olsun Şimdi şayet aşağıdaki şartları   		that is, let r a be a subset of Cartesian A. Now, 
00:06:46		 sağlayan bir bağıntı ise sırasıyla şu özellikler vardır diyeceğiz nedir bu   		if it is a relation that satisfies the following conditions, we  will  say  that  it  has  the  following  properties  respectively.  What  is  this?   Let's 
00:06:52		 Hemen onları sıralayalım eğer her a eleman a için a r a ise ya da a,a eleman   		list them, if every element  a  is  a  r  a  or  if  a,  a  element  is 
00:07:00		 R ise r'ye yansıma özelliğine sahiptir denir yine şimdi bağıntının bir   		R, it is said to have the property of reflecting on r. Again, 
00:07:08		 elemanını aldığımızda yani ar5 şartını sağlayan her AB eleman a   		when we take an element of the relation, that is, 
00:07:14		 için eğer B virgül A da r'nin elemanı ise ya da b r a ise   		for every AB element that satisfies the condition ar5, if B comma A  is  also  the  element  of  r.   or  if  it  is  b  r  a,  it 
00:07:21		 r'ye simetri özelliğine sahiptir Deniz Yine benzer şekilde Eğer arb ve   		has the property of symmetry to r. Deniz Similarly,  if  arb  and 
00:07:29		 b r c Pardon brea şartını sağlayan her AB   		b r c Excuse me, 
00:07:36		 eleman a için A eşittir b oluyorsa r'ye ters simetri özelliğine sahiptir deriz   		if every AB element that satisfies the condition of brea is A equal to b, we  say  that  it  has  the  property  of  reverse  symmetry  to  r. 
00:07:43		 Şimdi burada şuna dikkat edin lütfen Genellikle bu üç tersimetre özelliği   		Now please pay attention to this here. Generally,  these  three  inverse  symmetry  properties   It  is 
00:07:49		 için şu da söylenir a virgül B r'nin elemanı iken B virgül a r'nin elemanı   		also said that while a comma B is  an  element  of  r,  B  comma  a 
00:07:54		 olmayacak ya da oluyorsa AB'ye eşit olacak Biz bu durumda teslimetri   		will not be an element of r, or if it is, it will be equal to AB. In this  case,  we 
00:08:00		 özelliği vardır deriz 4 özellik olarak da yine araya b ve c   		say that it has the distribution property. As a 4th feature, 
00:08:07		 şartını sağlayan her ABC eleman a için a r c oluyorsa r'ye geçişme özelliğine   		every ABC element that satisfies the conditions b and c is a.  If a r  c  is  the  element  R,  it  is  said  to  have  the  property  of  transitioning  to  r. 
00:08:14		 sahip bir denir şimdi sizler bunu 1 sınıfta şu şekilde görmüş olabilirsiniz   		Now, you may  have  seen  this  in  the  first  class  as  follows,  let 
00:08:20		 ben onu da size kısaca hatırlatayım a virgül B eleman R ve B virgül C eleman R   		me remind you briefly that 
00:08:26		 iken a virgül C eleman R oluyorsa biz bu r'ye geçişme özelliğine sahiptir diyoruz   		if a comma B is the element R and B comma C is the element R, then a comma C is the element R. 
00:08:33		 burada şuna dikkat edin genellikle şunlar yanlış anlaşılıyor Bakın bu 4   		Here we say that it has the property of reflection, pay attention to this, these  are  generally  misunderstood.  Look,  we 
00:08:40		 özellik için şunu söylemek zorundayız ilk yansıma özelliği kümenin bütün   		have to say this for these 4 properties, the first  reflection  property 
00:08:46		 elemanları için geçerlidir ama diğer özellikler bağıntıyla alakalıdır yani şu   		is valid for all elements of the set, but the other properties  are  related  to  the  relationship,  that 
00:08:53		 demektir Eğer yansıma özelliğini göstereceksiniz her a eleman a için a   		is, if you  will  show  the  reflection  property, 
00:08:58		 virgül a eleman R olacak ama diğer özellikleri için a virgül B oradaysa B   		there will be a comma for each element a and element R  but for  other  properties,  if  a  comma  B  is  there,  B 
00:09:05		 virgül a orada olacak ya da a,b,c oradaysa a virgül C Ordu olacak   		comma a will be there, or if a,b,c  is  there,  a  comma  C  will  be  Ordu. 
00:09:12		 Lütfen bunlara dikkat ediniz Şimdi şöyle bir tanım vermek istiyorum r a kümesi   		Please pay attention to these. Now I  want  to  give  a  definition  like  this  Let  r 
00:09:20		 üzerinde bir bağıntı olsun Eğer bu re bağıntısı yansıma simetri ve geçişme   		be a relation on the set a. If this relation  re  is  reflection  symmetry  and  transition 
00:09:27		 özelliklerini sağlıyorsa biz bu r'ye A üzerinde bir denklik bağıntısıdır   		If it satisfies the properties, we say that this r is  an  equivalence  relation  on  A.  Let 
00:09:33		 diyoruz bunu bir kere daha söyleyeyim bakın bizim Cebir'de denklik bağıntısı   		me say this once again, the equivalence  relation 
00:09:39		 çok önemli bir yer tutuyor çünkü denklik bağıntısının ayırdığı denklik sınıfları   		has a very important place in Algebra because there are equivalence  classes  separated  by  the  equivalence  relation. 
00:09:45		 var biz bu denklik sınıfları kümesi üzerinde işlem yapacağız O yüzden Lütfen   		We will  operate  on  this  set  of  equivalence  classes.  So  please  do 
00:09:50		 şunu unutmayın Demek ki A kümesi üzerinde tanımlı bir R bağlantısı   		not forget this.  So, if a  connection  R  defined  on  the  set  A 
00:09:55		 yansıma simetri ve geçişme özelliklerini sağlıyorsa biz bu reye A üzerinde bir   		satisfies  the  properties  of  reflection  symmetry  and  transition,  we  say  that  this  is  called  an  equivalence  relation  on  A. 
00:10:02		 denklik bağlantısı denir diyoruz Daha sonra bunlarla ilgili ben örnekte   		Then,  I 
00:10:07		 tavsiyem sizlere O yüzden az ileride örneği de birlikte çözmeye çalışacağız   		will give you my advice about these in the example. That's why we will try  to  solve  the  example  together  in  the  future, 
00:10:12		 şimdi ra üzerinde bir denklik bağıntısı olsun diyoruz a eleman A'nın denklik   		now we call it an equivalence relation on ra. a  The  equivalence  class  of  element  A  is 
00:10:18		 sınıfı şurada olduğu gibi kimlerden oluşuyormuş B eleman a'lardan nasıl B   		like here, who is it composed  of,  B  element  is  made  up  of  a's,  how  is  B 
00:10:24		 eleman ağlardan Bra şartını sağlayan B eleman a'lardan oluşuyormuş bütün bu   		element made up of networks, B element that meets the Bra condition is made up of  a's,  it 
00:10:31		 denklik sınıflarının kümesiydi a/r ile gösterilir ve biz buna bölüm kümesi de   		is the set of all these equivalence classes, it is denoted by a/r and  we  call  it  the  partition  set.   Let 
00:10:37		 deriz onu da hemen belirtelim şimdi bakın bir tane örneğimiz var daha   		's point out now,  look,  we  have  one  example. 
00:10:43		 sonra bu örnek size Çok kapsamlı bir şekilde anlatılacak Z'ye tam sayılar   		Later, this example will be explained to you in a very comprehensive way.  If  we  define 
00:10:49		 kümesi üzerinde farkları ne pozitif tam sayısı ile bölünebilen tam sayılar   		the differences on the set of integers Z as integers  that  can  be  divided  by  the  positive  integer  ne, 
00:10:56		 olarak tanımlarsak bu bir denklik bağıntısıdır Ayrıca anın denklik   		this is an equivalence relation.  Also,  let's  try  to 
00:11:02		 sınıfında şimdi birlikte oluşturmaya çalışalım Şimdi arkadaşlar ne demektir   		create it together in the equivalence class of the moment. Now,  friends,  what  are  you  doing? 
00:11:06		 bu yani Şunu söylüyor diyor ki a,b eleman Z için n böler a eksi B   		This means, it says that a,  b  element  divides  n  for  Z,  let 
00:11:16		 olarak tarif edelim diyor bu bağıntıyı sizler bunu daha sonra Mondial etmek   		's describe this relation as a minus B. You  will  see  this  relation  later  in  Mondial 
00:11:22		 aritmetikte Çok kapsamlı olarak göreceksiniz şimdi n'nin a - B'yi   		in arithmetic in a very comprehensive way, now  n  divides  a  -  B,  it  is 
00:11:27		 bölmesi Z üzerinde bir denklik bağıntısı olduğunu göstermeye çalışacağız O halde   		an equivalence relation on Z. So, 
00:11:32		 ne yapacağız 3 tane özelliği sağlatmaya çalışacağız O halde bakın biraz evvel   		what will we do? We will try to satisfy 3 properties. So,  look, 
00:11:38		 söylediğimi şimdi gerçekleştirmeye çalışıyorum birinci   		I  am  trying  to  realize  what  I  just  said. 
00:11:42		 özelliğimiz neydi yansıma özelliği ne demiştim kümenin tamamıyla ilgilidir O   		What was our first property? 
00:11:57		 bölünür kendisi hariç ama hiçbir tam sayı sıfırla Bölünmez Çünkü belirsizdir   		except but no integer  can  be  divided  by  zero  because  it  is  uncertain. 
00:12:02		 Dolayısıyla ne böler a - a olup O halde a virgül A   		Therefore, what  divides  a  -  a.  Therefore,  a  comma  A  is 
00:12:07		 bu bağıntının elemanıdır bütün a'lar için bu geçerli Şimdi ikinci özelliğimiz   		the element of this relation, this  is  valid  for  all  a's.  Now, 
00:12:13		 ne olacak ne a - B'yi bölüyorsa ne demektir bu a - b = n x T olacak şekilde   		what will be our second feature? What does it mean if it divides a - B? This  is  a  -  b  = 
00:12:22		 T eleman Z vardır biliyorsunuz bir eşitlik söz konusu ise eşitliğin Her iki   		As you know, there is a T element Z such that n 
00:12:45		 ve NB - C'yi bölüyorsa buradan ne deriz a -   		If  it  divides  a  -  B  and  NB  -  C,  what  do  we  say  from  here?  a  - 
00:12:51		 b = n x T yine aşağıdan b - c = n x k deriz taraf tarafa toplarsak a - c = n   		b = n x T. Again from below, we  say  b  -  c  =  n 
00:13:01		 parantezinde t  k olur Dolayısıyla Buradan da n böler a - c olur   		From  here,  n  divides  and  becomes  a  -  c. 
00:13:07		 Dolayısıyla simetri özelliği de gerçekleşmiş olur şimdi burada   		Therefore, the symmetry feature is realized.  Now  here  is  the 
00:13:14		 a eleman Z'nin denklik sınıfını Nasıl belirleyeceğiz kolay Bakın kimler olacak   		equivalence class of element Z. How can we  determine  it?  It  is  easy.  Look  who  will  be  the 
00:13:21		 b'ler nasıl b'ler a - b ile bölünen ve A'dan   		b's, how are the b's divided  by  a  -  b  and 
00:13:28		 çıkartıldığında n'nin katı olan b'ler hemen basitçe bir Örnek vermek gerekirse   		when subtracted from A, it becomes a multiple of n?  To give  a  simple  example,  if 
00:13:33		 bakın en yerine 5 alırsak o halde 3'ün denklik sınıfını bulmak istiyorsak 3'ten   		we take 5 instead of 'en', then if we  want  to  find  the  equivalence  class  of  3, 
00:13:41		 kimler çıkartıldığında 5'in katı oluyorsa onlar 3'ün denklik sınıfında   		whoever is subtracted from 3 becomes a multiple of 5, they  will  be  in  the  equivalence  class  of  3. 
00:13:46		 olacak Dolayısıyla Demek ki Z üzerinde n büyük bir tam sayı olmak sıfırdan büyük   		Therefore, there is a  whole  n  greater  than  n  on  Z.   The  connection  defined  by  the  divisibility  relation,  including  a  number  being  an  integer  greater  than  zero, 
00:13:57		 denklik bağıntısı imiş bunu Çok kapsamlı olarak ilerki derslerimizde göreceğiz ve   		is an equivalence relation. We  will  see  this  in  detail  in  our  future  lessons,  and 
00:14:03		 buna mod n'ye göre kalan sınıfları diyeceğiz ve daha sonraki derslerimizde   		we  will  call  it  the  remaining  classes  according  to  mod  n.  In  our  later  lessons, 
00:14:08		 Bunun üzerinde tekrar bina inşa edeceğiz toplama ve çarpma işlemleri olmak üzere   		we will build a building on this again, including  addition  and  multiplication  operations. 
00:14:14		 şimdi Sevgili arkadaşlarım   		My dear friends, the 
00:14:51		 denklik bağıntısının ayırdığı denklik sınıfları ikişer ikişer ayrıktır Yani   		equivalence classes separated by the equivalence relation are  disjoint  two  by  two.  In  other  words,  their 
00:14:56		 bunların ikişer ikişer kesişimleri boştur hiçbir şekilde ortak elemanları   		intersections two by two are empty, 
00:15:02		 yoktur ve son önerme olarak buradaki ra üzerinde bir denklik bağıntısı ise bu   		they have no common elements, and as the last proposition, if  there  is  an  equivalence  relation  on  ra  here, 
00:15:08		 takdirde a/r yani denklik sınıflarının kümesi A'nın bir ayrışımını verir ne   		then a/r, that is, the set of equivalence classes gives  a  decomposition  of  A.  What  does 
00:15:16		 demekti bu A'nın ayrışımını verir bu denklik sınıflarının ikişer ikişer   		this mean?  It gives the decomposition of A. The intersections of these equivalence  classes,  two  by  two,  are 
00:15:22		 kesişimleri boş ve birleşimleri de anın kendisine eşittir Şimdi burada zaten   		empty and their combinations are equal to the moment itself.  Now,  this  is  the 
00:15:29		 önem arz eden yer burası Bakın arkadaşlar şimdi Z üzerinde biraz evvel   		important part here. Look, friends,  now 
00:15:35		 tarif ettiğimiz bölünebilme Bağıntısı ile ilgili konuşursak Dolayısıyla Z   		if  we  talk  about  the  divisibility  relation  on  Z  that  we  just  described.  Therefore,  although  Z  is 
00:15:41		 sayılabilir sonsuz çoklukta bir küme olmasına rağmen Z'nin bölünebilme   		a countably infinite set, Z   The  number  of 
00:15:46		 bağıntısıyla oluşturulan denklik sınıflarının sayısı n tane olacak ve bu   		equivalence classes created by the divisibility relation of will  be  n  and  the  intersections  of  these  n 
00:15:51		 n tane denklik sınıfının ikişer ikişer kesişimleri boş birleşimleri de Z   		equivalence classes two by two 
00:15:56		 kümesini verecek bu bizim için önemli daha sonraki derslerimizde niye önemli   		will give the empty combination of the set Z. This is important for us 
00:16:01		 olduğunu Sizler de göreceksiniz şimdi sıralama bağıntısını tarif edelim Eğer   		and you will see why it is important in our later lessons. Now let's describe  the  order  relation.  If 
00:16:07		 bir a kümesi üzerinde bu küçük eşit olarak da gösterilen bağıntı şayet   		this is on a set a If  the  relation  shown  as  less  than  or  equal 
00:16:13		 yansıma ters simetri ve geçişme özelliklerini sağlarsa buna Biz kısmi   		meets  the  properties  of  reflection  inverse  symmetry  and  transition,  we  call  this  a  partial 
00:16:20		 sıralama bağlantısı ya da sıralama bağıntısı denir diyoruz Bu durumda da a   		order connection or order relation.  In  this  case,  we  will  refer  to  the 
00:16:25		 kümesine kısmi sıralı küme bundan sonra KSK baş harfleri ile göstereceğiz şimdi   		set a as a partial ordered set from now on, with  the  initials  KSK.  Now, 
00:16:31		 Sevgili arkadaşlarım bakın a kümesi üzerinde tarif edilen   		my dear friends, look  at  the  partial  order  described  on  the  set  a. 
00:16:36		 kısmi sıralama bağıntısı ya da sıralama bağıntısı Önemli bir şeydir Çünkü   		Order relation or order relation  is  an  important  thing  because  the 
00:16:41		 sıralama bağıntısındaki elemanlar birbirleriyle   		elements in the order relation 
00:16:46		 karşılaştırılabilirler bu karşılaştırmanın önem arz ettiğini ki   		can be compared with each other. We will try to see why this comparison  is  important 
00:16:50		 daha sonraki derslerimizde niye olduğunu da birlikte görmeye çalışacağız şimdi   		in our next lessons. Now  let's 
00:16:57		 kısmi sıralama bağıntısının sahip olduğu özellikleri söylemeye çalışalım Yani   		try  to  say  the  features  of  the  partial  order  relation.  In  other  words, 
00:17:03		 kısmi sıralama bağıntısıyla verilen A kümesinin elemanları Acaba hangi   		what 
00:17:09		 özellikleri sağlar onu birlikte görmeye çalışalım işte bir de burada şunu da   		properties do the elements of the set A given with the partial order relation have?  Let's try to see it together. 
00:17:15		 söyleyeyim Arkadaşlar bu küçük eşit bir gösterimdir Bunun yerine bazen kapsama   		Let me also say this here. Friends, this is a small and equal representation.  Instead,  sometimes 
00:17:20		 alır bazen başka şeyler alabilir sadece Önemli olan şey şu; a kümesi üzerinde o   		it covers, sometimes it can only cover other things. The important  thing  is  this;   The 
00:17:26		 Simge ile gösterilen şekil 3 tane özelliği sağlaması   		figure  shown  with  that  symbol  on  the  set  a  needs  to  satisfy  3  properties. 
00:17:32		 gerekiyor şimdi a virgül küçük eşit bir kısmıyı   		Now  let  a  be  a  comma  less  than  or  equal  to  a  partial 
00:17:36		 sıralama bağıntısı olsun ya da a bir kısmi sıralı küme olsun Eğer her AB   		sorting relation or let  a  be  a  partially  ordered  set.  If 
00:17:42		 eleman a için a küçük eşit B veya B küçük eşit a ise A ve B elemanlarına   		for each element AB, a is less than or equal to B or B is less  than  or  equal  to  a,  A  and  B  are   Its  elements  are 
00:17:50		 kıyaslanabilir elemanlar denir Dolayısıyla bu A'nın her eleman çifti Bu   		called comparable elements. Therefore,  if  every  pair  of  elements  of  A 
00:17:57		 anlamda kıyaslanabiliyorsa buna tam sıralama bağıntısı denir ve a virgül   		can be compared in this sense, it is called  a  complete  order  relation  and  a  comma  is 
00:18:03		 küçük eşit ikisine de tam sıralı küme denir şimdi olaya Lütfen dikkat ediniz   		less than or equal to them, they are both called a fully ordered set. 
00:18:15		 dediğinde hepsi birbirine eşit olur şimdi   		are equal to each other, now let it 
00:18:19		 a virgül küçük eşit bir kask olsun A'nın tam sıralı her alt kümesine bir zincir   		be a comma less than equal helmet. Each  fully  ordered  subset  of  A  is  called  a  chain, 
00:18:25		 adı verilir ve bir sonraki tanımımızda da bunları da çok kullanacağız a virgül   		and we  will  use  them  a  lot  in  our  next  definition.  Let  it 
00:18:32		 küçük eşit bir ksk olsun yani kısmi sıralı küme olsun Şimdi Bakın şu tanımı   		be a comma less than equal ksk, that is, let it be  a  partially  ordered  set.  Now,  look,  by  explaining  this  definition 
00:18:38		 birazcık açıklayarak vereyim mi siz ben size her ay için   		a little bit.  Shall I give it to  you  for  each  month 
00:18:43		 A'dan küçük eşit olan m'ler için eğer bu durum ancak a eşit M için sağlanıyorsa   		for m's that are less than or equal to A? If this is only  true  for  M  that  is  equal  to  a,  then 
00:18:50		 m'ye A'nın bir maksimal elemanı denir ve Max maka ile gösterilir benzer şekilde   		m is called a maximal element of A and is denoted  by  Max  maka.  Similarly, 
00:18:59		 yine A'nın elemanları için a küçük eşit n şartını sağlayan n'ler için a eşit n   		for the elements of A.  If a is equal  to  n  for  n's  that  meet  the  condition  of  a  less  than  or  equal  to  n, 
00:19:06		 oluyorsa ny A'nın minimal elemanı denir ve Mina ile gösterilir Biraz sonra örnek   		ny is called the minimal element of A and  is  denoted  by  Mina. 
00:19:13		 vereceğim bunu soyut matematik derslerinde gördüğünüz bu tanımları biz   		I will give an example later, these  definitions  that  you  see  in  abstract  mathematics  lessons,  we 
00:19:17		 ee zaman zaman Cebir derslerinde bunları da kullanacağız   		will  use  them  from  time  to  time  in  Algebra  lessons, 
00:19:22		 şimdi bir ikinci tanımımız ki şimdi burada size örnekte de bunları   		now we have a second definition.  Now, 
00:19:26		 açıklayacağım teker teker a küçük eşit bir kask olsun yine bakın her a eleman a   		I will explain these to you in the example, one by one. Let it  be  a  helmet  less  than  or  equal  to  a.  Again,  look,  if  there  is 
00:19:33		 için a küçük eşit M olacak şekilde bir M eleman a varsa m'ye A'nın en büyük   		an element M such that a is less than or equal to M for each element a, m  is  called  the  largest  element  of  A. 
00:19:39		 elemanı denir baş harfleriyle gösteriyoruz en büyük eleman a ile   		We  show  it  with  the  initials,  the  largest  element  is  a. 
00:19:44		 gösterilir Yine benzer şekilde en küçük elemanı tarif edeceğiz Eğer a eleman a   		Similarly, we  will  describe  the  smallest  element.  If  there  are 
00:19:50		 için n≤ a olacak şekilde bir n eleman ne varsa neye A'nın en küçük elemanı denir   		n elements such that n≤ a for element a, what  is  called  the  smallest  element  of  A 
