Time		Subtitle		Translation
00:02:04		 mısınız Tamam Tamam yahu susuyorum ve [Müzik]   		can you come and voice it immediately, put it into action immediately? Okay, okay, I'm going to keep quiet and [Music] 
00:02:12		 geliyorum Sen ne diyorsun ya Allah beni kahretsin bir dakika bir dakika   		I'm coming. What are you saying? God damn  me,  wait  a  minute,  wait  a  minute. 
00:02:18		 Hiçbirimiz fareye dokunmadık değil mi Hayır bence zaten Nur Hayat buradayken   		None of us touched the mouse, did we? No,  I  don't  think  so,  while  Nur  Hayat  was  here,  the 
00:02:21		 hayvan yan tarafa kaçtı ve bütün gün orada   		animal ran off to the side and 
00:02:25		 takıldı yan taraftan kimseyi ısırmış mıdır Ya ne bileyim ben ya   		hung out there all day long.  I don't know if it has bitten anyone. 
00:02:31		 kurabiyelerini yemiş ama ben anlamıştım ben anlamıştım   		It ate its cookies, but  I  understood  that 
00:02:36		 hastaydı o hayvan böyle mutsuz bakıyordu depresif bir hali vardı Ben önce efend   		it was sick, that animal was looking so unhappy, it was  in  a  depressed  state.  I 
00:02:40		 iline verdim ama   		gave it to Effendi first, but 
00:02:44		 demek lele niye geliyorsun Selahattin abi Ne gereği var Ben mesajlarını   		I wonder why you are coming, Lele, Selahattin brother.  What  is  the  need?  I 
00:02:49		 iletiyorum tüya bağırma dostum Unutma ki şu anda senin Tülay arama motorun benim   		am conveying your messages to the feather, my friend. Don't forget that right now.   Your  Tülay  search  engine  will 
00:02:56		 motor lafını havada kapıp bana terbiyesizce esprileri yöneltecek şu an   		catch the word "my engine" out of the air and direct rude jokes at me. 
00:02:59		 kapatırım bir daha da tayın saçını telini   		I'll turn it off right now and 
00:03:03		 göremezsin Saygı bizden   		you won't be able to see a single hair of yours again. Respect from us, how 
00:03:07		 gülüm kaç ekran ki bu plazma ay cebinde akrep var   		many screens is this plasma moon? There's a scorpion in its pocket. 
00:03:15		 ya Alo iyi günler Ay Allah'ın belası tu senin suratına hediye kazandınız   		Hello, good day. Ay, God damn you, you  won  a  gift  for  your  face. 
00:03:25		 Tebrikler Kredi kartınıza bizden 10 hediye şu an geçmiş bulunuyor Güle güle   		Congratulations.  10 gifts have been sent to your credit card from us right  now.  Spend  it  good  bye. 
00:03:34		 harcayın Kız ben seni yerim kampanyalarımızı internet   		Girl, I will  eat  you. 
00:03:40		 sitemizden de takip edebilirsiniz Kız Dur hemen kapatma Nasılsın iyisin anan   		You can also follow our campaigns on our website. Girl, don't close  it  immediately.  How  are  you?  Your  mother  and 
00:03:46		 baban girer akrabaların gireri iyiler inşallah   		father will enter. Your relatives will enter. They are fine. I hope they are fine. 
00:03:51		 [Müzik] sana ne oluyor oğlum   		[Music] What's happening  to  you,  son?  I 
00:04:08		 açım sana ne oluyor sefilim Sen Seçtin B   		'm hungry. What's happening to you? I'm miserable.  You  chose  B. 
00:04:15		 yatı Sen de haklısın   		Yati You are right too 
00:04:32		 [Alkış]   		[Applause] 
00:04:44		 İyi akşamlar   		Good evening 
00:04:48		 beyler nasılsınız nasıl   		gentlemen, how  are  you,  how  do 
00:04:53		 görünüyor Öyle oturuyorsunuz bir şey yapmıyorsunuz köbek mi atalım lan Tamam   		you look? You are sitting there, you  are  not  doing  anything,  should  we  shout?  Okay, 
00:04:58		 abi tamam sakin Eyvallah abi keyifsiz keyifsiz böyle bir   		brother, okay, calm  down.  Thank  you,  brother,  we  are  in  such  a 
00:05:02		 depresyondayız nedense oldu mu Başımla beraber havadır başka neden olacak ki   		depression, in a bad mood. Is it okay for some reason? It's the  air  along  with  my  head.  What  else  could  that  have  to  do 
00:05:10		 benle ne ilgisi olabilir ki biz zaten İzmir'e gideceğiz biz   		with me? What could it possibly have to do with me? We're  going  to  go  to  Izmir,  we 
00:05:16		 yokuz Herkes bir balatayı sıyırdı arkadaş artık güneye gitmek lazım spini   		're not there. Everyone's screwed up. We need  to  go  south  now. 
00:05:23		 görsek kendimize geliriz   		If we see the spin, we'll come to our senses. [ 
00:05:31		 [Müzik] Hekim olarak konuşmuyorum ama bir   		Music] I'm  not  speaking  as  a  doctor,  but  there's 
00:05:36		 tuhaflık var gibi kesin Yapma ya Selahattin Orçun Rıza üçü de boşluğa   		definitely something strange. Don't do it, Selahattin  Orçun.  Rıza,  all  three  of  them 
00:05:41		 Bakıyor Bu adamlar böyle değildi değil mi ya   		are looking into space. These guys weren't like this, were they? 
00:05:45		 Ay inşallah Orçun hasta değildir Ötekiler O kadar şey değil de ya Ne   		Oh, God willing, Orçun.  He is not sick. The  others  are  not  that  big  of  a  deal.  What 
00:05:57		 yapacağız Alo iyi gün bıktırdı bu adam da ya Hediye kazandınız   		are we going to do? Hello, good day. This  guy  is  fed  up  too.  Congratulations.  You  have  won  a  gift. 
00:06:03		 Tebrikler Kredi kartınıza bizden 10 TL hediye şu an geçmiş hediye   		10 TL gift from us to your credit card. It is now  past. 
00:06:11		 kazanmış ben de ya bana da sürekli sesli mesaj geliyor   		I have also won a gift. 
00:06:21		 ya pardon televizyonu açabilir miyiz a Tabii Fatma Gül vardı değil mi Hayır   		Excuse me. Can we turn on the television? Of  course,  Fatma.   There  was  a  rose,  wasn't  there?  No,  the 
00:06:28		 benim oynadığım dizi benü oynadığım diziyor bir sonraki kanalı çevirebilir   		series I'm in is showing me in the series, 
00:06:34		 miyiz bir sonrak başlamış ama bu ya özet yok   		can we turn the next channel, the next  one  has  started,  but  there's  no  summary 
00:06:42		 [Müzik] muydu nesiz şim bu arka arkaya sahnede   		[Music], what's wrong with this, I 
00:06:49		 yokum sonra varım lütfen Fatma gülü açabilir miyiz biraz sabırlı   		'm not in the scene in a row, then I'm in, please can  we  turn  on  the  Fatma  rose,  be  a  little  patient, 
00:07:28		 yaü Fatma aç aç Tamam Allah aşkın aç Fatma Gül aç aç Fatma Gül aç doyamadık   		this is it, Fatma, open it, open it. Okay.  For God's sake, hungry Fatma  Gül,  hungry,  hungry,  Fatma  Gül,  hungry,  we 
00:07:34		 şu Fatma Gül Ben de Doyamadım ama o zaman ben de bir porsiyon daha mantı   		couldn't get enough of this Fatma Gül. I couldn't get enough of it either, but then  I  want  another  portion  of  manti,  too. 
00:07:38		 istiyorum keyif benim değil   		The pleasure is mine, isn't it? 
00:07:43		 mi Merhaba Merhaba bacım nasılsın İyi vallahi işte ya Reis şu arkadaşlara   		Hello, sister, how are you? Well, I swear, Chief,  tell  these  friends, 
00:07:50		 Söylesene ben nerede   		where 
00:07:55		 oynuyorum Galatasaray   		do I play, Galatasaray 
00:07:59		 Voleybol Takımı fan mıle bir tipim var diye Reis ben ne iş yapıyorum kocabaşlar   		Volleyball Team fan? Chief,  what  do  I  do?  Kocabaslar,  you're 
00:08:06		 komşusun İş iş Ben televizyona çıkıyorum ya dizide oynuyorum ya ben genelde   		my neighbor. It's work. I'm on TV or  I'm  acting  in  a  TV  series.  I  usually 
00:08:12		 belgesel koc başlar Gülistan koc başlar onu tanıyorsun Tabi canım Gülistan Hanım   		start with a documentary. Gulistan starts with a husband. You  know  her.  Of  course,  Ms.  Gulistan 
00:08:18		 eve sipariş verir orduya sipariş verir gibi Buralarda çok ünlüdür ünlü Gül   		gives orders to the house, like she gives orders to the army. She's very  famous  around  here. 
00:08:24		 Gülistan ben değim   		I'm not the famous Gul Gulistan. 
00:08:29		 geçmişim onu anlıyorum Bravo harika bir mantı sipariş etmişti o Bugün   		I understand my past. Bravo, she  ordered  a  wonderful  ravioli.  I  wonder  if  she  will  come  today.  Is  she  not 
00:08:35		 gelir mi   		coming 
00:08:40		 acaba İşe de mi gelmiyor Ne oldu bu kıza ya ben buna   		to work? What  happened  to  this  girl? 
00:08:46		 hiçbir şey yapmadım ki Zerrin Selahattin abi daha Ağlayacaksan iki şampanya daha   		I didn't do anything to her. Brother Zerrin Selahattin. If you're going to  cry,  you  should  open  two  more  champagnes. 
00:08:51		 açtır patron bakıyor biliyor musun lan 10 dakika oldu geleli iki şişe açtırdık   		The boss is looking at you. Do you know? It's been  10  minutes  since  we  came  and  opened  two  bottles. 
00:08:55		 ya ya iki şişe köpek öldüren açtırdın sanki tapumuzu aldın ha işte Tülay bu   		Well, you made us open two bottles of dog killer, it's  like  you  took  our  title  deed,  huh,  Tülay  got  scared  of  these 
00:09:00		 halv hareketlerinden yıldı da kaçtı İyi tamam tamam hadi söyle iki   		halv actions and ran  away.  Okay,  okay,  tell  them  to  open  two 
00:09:06		 şişe daha   		more bottles, don't get me 
00:09:09		 açsınlar yanlış anlama Selahattin abi Tülay yok Bana Talep çok Artı   		wrong, Selahattin, there is  no  Tülay.  There  is  a  lot  of  demand  for  me. 
00:09:13		 yetişemiyoruz o bakımdan Niye gelmiyor bu kız buraya ya   		Plus,  we  can't  keep  up.  Why  doesn't  this  girl  come  here? 
00:09:19		 Nasıl gelsin Selahattin abi bu lokalin As solisti bu kız üstünde yok başında   		How can she come here, Selahattin?  Dude, this  girl  is  the  lead  singer  of  this  local,  she's 
00:09:24		 yok 10 yıllık Gece elbiseleriyle mi sahneye çıksın utanıyor sanatçı duyarlı   		not wearing anything, she's 10 years old. Should she  go  on  stage  with  her  evening  dresses  on?  She's  ashamed,  the  artist  is  sensitive.  [ 
00:09:29		 [Müzik] yetişmiyor mu Parası elbiseye falan   		Music] can't afford  it. 
00:09:33		 konsomasyona çıkartmıyor nasıl yetişsin Ben dedim konsomasyona çık Kızım ne var   		She can't afford dresses or anything like consumables. How can she afford it? I  said,  go  to  the  consumation  girl.  I'm  wondering  what's  wrong. 
00:09:38		 diye ama ha Yok yok konsomasyon olmaz konsomasyon olmaz   		No, no consumation, no consumation, no  consumation 
00:09:43		 şimdi ne tutar bunun 23 gece elbisesi nereden baksan 2000 3000 tutar ne Oha   		now.  How much does this cost for 23 evening dresses? No matter how  you  look  at  it,  it  costs  2000  to  3000.  Oh 
00:09:52		 ulan bu karı Paris ol'da mı sahneye çıkıyor kenarımın pavyonunda çıkıyor   		man, is this woman going on stage in Paris Ol? She's  appearing  in  the  pavilion  of  my  neighborhood.  That's  how  I 
00:09:58		 işte böyle iletirim ben kendisine bu karı tamlamasının altını   		convey it to her, underlining  her  description  of  this  woman, 
00:10:03		 çizerek ama Zer şimdi bak bak biz birbirimizi biliriz Ben şakacı ve   		but Zer, now look, we know  each  other.  I'm  a  playful  and 
00:10:11		 nükteden bir kişiyim biliyorsun   		witty person. You know, 
00:10:19		 Şimdi 1 buç yeter E tabii elbiseyi elbise bunun saçı   		now 1 and a half is enough.  Well,  of  course,  the  dress,  the  dress,  the  hair, 
00:10:27		 var makyajı var ayakkabısı var   		the make-up, the shoes. 
00:10:31		 zarrın Ah Yalan Dünya Yalan Dünya Yalan Dünya Bir gün bir bakacağız Herkes Aynı   		Ah, a Lie World, a Lie World, a Lie World.  One  day  we  will  take  a  look.  Everyone  is  the  same.  Everything  is  the  same 
00:10:44		 her şey [Müzik]  		[Music]  
